dep,jour,taux_incid_glissant
06,2020-09-07,139.89305129905983
07,2020-09-07,29.674952198852772
08,2020-09-07,26.36227031871985
09,2020-09-07,41.995301775613854
10,2020-09-07,22.587421387706634
11,2020-09-07,48.83218631357239
12,2020-09-07,56.401781865210516
13,2020-09-07,221.18793650824858
14,2020-09-07,38.758961201990594
15,2020-09-07,25.90836840299417
16,2020-09-07,23.26382905393762
17,2020-09-07,14.526797304815478
18,2020-09-07,22.94166070633325
19,2020-09-07,22.468544038346316
21,2020-09-07,83.8828567460958
22,2020-09-07,19.457015092605328
23,2020-09-07,13.761073363722371
24,2020-09-07,28.648874980717103
25,2020-09-07,40.7823538462394
26,2020-09-07,35.92285231289381
27,2020-09-07,40.95310869054932
28,2020-09-07,42.84799441113117
29,2020-09-07,21.951257178281715
2A,2020-09-07,108.36037211936879
2B,2020-09-07,99.85844242776723
30,2020-09-07,73.0826167584987
31,2020-09-07,110.92591733378066
32,2020-09-07,50.51568090928226
33,2020-09-07,176.62111862082475
34,2020-09-07,96.24663625658401
35,2020-09-07,74.2094110101629
36,2020-09-07,15.197638379102786
37,2020-09-07,50.051207506029264
38,2020-09-07,81.26617121707159
39,2020-09-07,24.045080647976143
40,2020-09-07,44.90520147871615
41,2020-09-07,24.70755105464639
42,2020-09-07,61.197509732103974
43,2020-09-07,37.46127165592043
44,2020-09-07,59.5628670057204
45,2020-09-07,78.92925654204923
46,2020-09-07,12.704572491135675
47,2020-09-07,65.38796861377507
48,2020-09-07,35.39312586844244
49,2020-09-07,61.528580761164925
50,2020-09-07,17.32328718545496
51,2020-09-07,42.21182888956286
52,2020-09-07,39.5864106351551
01,2020-09-08,71.84662572017871
02,2020-09-08,22.431327820549377
03,2020-09-08,28.3717911956899
04,2020-09-08,45.400340199882564
05,2020-09-08,40.20993820367392
06,2020-09-08,147.39724809059882
07,2020-09-08,32.122370936902485
08,2020-09-08,28.621893488895832
09,2020-09-08,47.24471449756559
10,2020-09-08,26.782228216852154
11,2020-09-08,46.417407869494646
12,2020-09-08,59.635005029458256
13,2020-09-08,226.00491823665044
14,2020-09-08,41.94066697230325
15,2020-09-08,24.507916056886376
16,2020-09-08,25.561491182721582
17,2020-09-08,13.754095320516784
18,2020-09-08,21.92952861634796
19,2020-09-08,25.797217229212432
21,2020-09-08,94.0163562187785
22,2020-09-08,19.121549315146616
23,2020-09-08,12.901006278489723
24,2020-09-08,34.035842925809206
25,2020-09-08,44.67521489519862
26,2020-09-08,33.61764253880436
27,2020-09-08,45.447962083414495
28,2020-09-08,53.55999301391395
29,2020-09-08,23.49556672851259
2A,2020-09-08,96.04669346944053
2B,2020-09-08,102.60180623072787
30,2020-09-08,76.55637916383867
31,2020-09-08,123.41757469118838
32,2020-09-08,59.98737107977268
33,2020-09-08,168.7848956802821
34,2020-09-08,98.96738922496802
35,2020-09-08,80.770890688521
36,2020-09-08,15.658172875439234
37,2020-09-08,55.83270012223728
38,2020-09-08,91.7011270542831
39,2020-09-08,23.2694328851382
40,2020-09-08,49.274356217185826
41,2020-09-08,25.622645538151815
42,2020-09-08,73.48931724239837
43,2020-09-08,40.98703840000705
44,2020-09-08,57.475383348977864
45,2020-09-08,82.59016825550235
46,2020-09-08,15.01449476225125
47,2020-09-08,67.80974522910007
48,2020-09-08,39.325695409380494
49,2020-09-08,67.28922477665247
50,2020-09-08,20.991748001198363
51,2020-09-08,45.58168077570443
52,2020-09-08,53.766617429837524
01,2020-09-09,71.69440829280545
02,2020-09-09,24.902575800779395
03,2020-09-09,27.768136063866717
04,2020-09-09,43.58432659188726
05,2020-09-09,47.264313327125485
06,2020-09-09,155.82788893047592
07,2020-09-09,33.346080305927345
08,2020-09-09,26.73887418041585
09,2020-09-09,46.58853790732162
10,2020-09-09,31.622389942789287
11,2020-09-09,46.95402530151192
12,2020-09-09,62.50898117545624
13,2020-09-09,230.08460684335813
14,2020-09-09,51.77503026236056
15,2020-09-09,24.507916056886376
16,2020-09-09,26.710322247113563
17,2020-09-09,15.763120479693391
18,2020-09-09,23.953792796318538
19,2020-09-09,28.70980627122029
21,2020-09-09,95.70527279755895
22,2020-09-09,22.97940575592181
23,2020-09-09,14.621140448955018
24,2020-09-09,33.79098074648684
25,2020-09-09,46.34358391618114
26,2020-09-09,32.6571384662671
27,2020-09-09,51.60757599215565
28,2020-09-09,54.02573208360016
29,2020-09-09,25.150184103759955
2A,2020-09-09,94.81532560444771
2B,2020-09-09,101.50446070954361
30,2020-09-09,74.15146672937253
31,2020-09-09,139.3355152094851
32,2020-09-09,75.77352136392338
33,2020-09-09,158.68351454598883
34,2020-09-09,99.64757746706401
35,2020-09-09,87.05512474666682
36,2020-09-09,15.197638379102786
37,2020-09-09,58.80603918200139
38,2020-09-09,99.21113314924595
39,2020-09-09,24.43290452939511
40,2020-09-09,57.0417424189097
41,2020-09-09,24.70755105464639
42,2020-09-09,80.8120961847014
43,2020-09-09,42.309200929039534
44,2020-09-09,56.779555463397024
45,2020-09-09,77.02558245105361
46,2020-09-09,19.634339304482403
47,2020-09-09,65.99341276760632
48,2020-09-09,39.325695409380494
49,2020-09-09,74.15297083765893
50,2020-09-09,21.80696151580801
51,2020-09-09,46.468483903636425
52,2020-09-09,55.539143279172826
01,2020-09-10,71.99884314755197
02,2020-09-10,28.894591768843267
03,2020-09-10,28.673618761601496
04,2020-09-10,42.97898872255549
05,2020-09-10,52.90781342588674
06,2020-09-10,156.38375535947884
07,2020-09-10,31.204588910133843
08,2020-09-10,29.37510121228783
09,2020-09-10,39.37059541463798
10,2020-09-10,35.494519323539
11,2020-09-10,44.270938141425525
12,2020-09-10,73.64563874119844
13,2020-09-10,231.1659700885096
14,2020-09-10,58.42768778210522
15,2020-09-10,32.21040396047923
16,2020-09-10,27.859153311505544
17,2020-09-10,16.535822463992087
18,2020-09-10,29.014453246244987
19,2020-09-10,32.87064775980294
21,2020-09-10,102.46093911268078
22,2020-09-10,24.153535977027303
23,2020-09-10,17.201341704652965
24,2020-09-10,36.72932689835526
25,2020-09-10,51.719439650458156
26,2020-09-10,33.61764253880436
27,2020-09-10,57.26776174613401
28,2020-09-10,54.491471153286376
29,2020-09-10,26.142954528908373
2A,2020-09-10,84.96438268450508
2B,2020-09-10,100.95578794895148
30,2020-09-10,77.49162288835328
31,2020-09-10,147.90122311170754
32,2020-09-10,82.08798147758367
33,2020-09-10,156.05103340190027
34,2020-09-10,99.90264805785
35,2020-09-10,89.82758094878996
36,2020-09-10,14.276569386429891
37,2020-09-10,62.10974924840596
38,2020-09-10,101.18745054265725
39,2020-09-10,25.596376173652022
