vaccin,jour,n_dose1,n_dose2,n_dose3,n_cum_dose1,n_cum_dose2,n_cum_dose3,nom_vaccin,dose1_glissant,dose2_glissant,doses_1_2_glissant,doses_1_2
2,2021-08-23,19044,35127,115,4868200,3635844,10835,Moderna,26799,35100,61899,54171
3,2021-08-23,92,921,7,4377707,3393293,2618,AstraZeneca,98,1080,1178,1013
4,2021-08-23,2632,4,0,994887,2239,62,Janssen,3628,11,3639,2636
0,2021-08-23,138834,356934,1481,47689684,36907367,121727,Tous vaccins,150781,290555,441336,495768
1,2021-08-24,124989,319785,1525,37573879,30195776,109737,Pfizer/BioNTech,113919,258360,372279,444774
2,2021-08-24,31748,56042,217,4899948,3691886,11052,Moderna,25894,36887,62781,87790
3,2021-08-24,92,958,9,4377799,3394251,2627,AstraZeneca,93,1004,1097,1050
4,2021-08-24,3500,8,0,998387,2247,62,Janssen,3369,11,3380,3508
0,2021-08-24,160329,376793,1751,47850013,37284160,123478,Tous vaccins,143274,296262,439536,537122
1,2021-08-25,119431,306230,1691,37693310,30502006,111428,Pfizer/BioNTech,108223,261117,369340,425661
2,2021-08-25,25763,43416,228,4925711,3735302,11280,Moderna,24991,37889,62880,69179
3,2021-08-25,91,835,2,4377890,3395086,2629,AstraZeneca,86,931,1017,926
4,2021-08-25,3345,18,0,1001732,2265,62,Janssen,3150,10,3160,3363
0,2021-08-25,148630,350499,1921,47998643,37634659,125399,Tous vaccins,136449,299947,436396,499129
1,2021-08-26,105012,285443,2075,37798322,30787449,113503,Pfizer/BioNTech,102194,262280,364474,390455
2,2021-08-26,32134,55655,369,4957845,3790957,11649,Moderna,24259,39186,63445,87789
3,2021-08-26,128,876,9,4378018,3395962,2638,AstraZeneca,86,852,938,1004
4,2021-08-26,3515,15,0,1005247,2280,62,Janssen,2910,10,2920,3530
0,2021-08-26,140789,341989,2453,48139432,37976648,127852,Tous vaccins,129449,302329,431778,482778
1,2021-08-27,105709,320662,2244,37904031,31108111,115747,Pfizer/BioNTech,97688,264121,361809,426371
2,2021-08-27,36712,65413,451,4994557,3856370,12100,Moderna,23751,40604,64355,102125
3,2021-08-27,140,953,9,4378158,3396915,2647,AstraZeneca,88,756,844,1093
4,2021-08-27,3422,16,2,1008669,2296,64,Janssen,2697,11,2708,3438
0,2021-08-27,145983,387044,2706,48285415,38363692,130558,Tous vaccins,124224,305492,429716,533027
1,2021-08-28,70102,220718,1057,37974133,31328829,116804,Pfizer/BioNTech,95783,265204,360987,290820
2,2021-08-28,17621,28347,283,5012178,3884717,12383,Moderna,23697,41188,64885,45968
3,2021-08-28,76,354,3,4378234,3397269,2650,AstraZeneca,91,724,815,430
4,2021-08-28,1605,9,0,1010274,2305,64,Janssen,2622,10,2632,1614
0,2021-08-28,89404,249428,1343,48374819,38613120,131901,Tous vaccins,122194,307126,429320,338832
1,2021-08-29,23746,77954,430,37997879,31406783,117234,Pfizer/BioNTech,95151,264525,359676,101700
2,2021-08-29,2610,5095,45,5014788,3889812,12428,Moderna,23662,41299,64961,7705
3,2021-08-29,18,123,1,4378252,3397392,2651,AstraZeneca,91,717,808,141
4,2021-08-29,349,3,1,1010623,2308,65,Janssen,2624,10,2634,352
0,2021-08-29,26723,83175,477,48401542,38696295,132378,Tous vaccins,121527,306552,428079,109898
1,2021-08-30,95013,286174,4225,38092892,31692957,121459,Pfizer/BioNTech,92000,259567,351567,381187
