vaccin,jour,n_dose1,n_dose2,n_dose3,n_cum_dose1,n_cum_dose2,n_cum_dose3,nom_vaccin,dose1_glissant,dose2_glissant,doses_1_2_glissant,doses_1_2
4,2021-09-03,2224,34,3,1021044,2410,75,Janssen,1768,16,1784,2258
0,2021-09-03,111948,292285,29256,48972387,40179668,223591,Tous vaccins,98139,259425,357564,404233
1,2021-09-04,68703,189605,10923,38501732,32828725,212135,Pfizer/BioNTech,75371,214271,289642,258308
2,2021-09-04,16421,27549,1391,5156137,4165318,20997,Moderna,20566,40086,60652,43970
3,2021-09-04,27,279,3,4378625,3400648,2701,AstraZeneca,56,483,539,306
4,2021-09-04,1255,13,0,1022299,2423,75,Janssen,1718,17,1735,1268
0,2021-09-04,86406,217446,12317,49058793,40397114,235908,Tous vaccins,97711,254856,352567,303852
1,2021-09-05,18078,41206,4012,38519810,32869931,216147,Pfizer/BioNTech,74562,209021,283583,59284
2,2021-09-05,2184,3732,243,5158321,4169050,21240,Moderna,20505,39891,60396,5916
3,2021-09-05,12,58,4,4378637,3400706,2705,AstraZeneca,55,473,528,70
4,2021-09-05,251,0,0,1022550,2423,75,Janssen,1704,16,1720,251
0,2021-09-05,20525,44996,4259,49079318,40442110,240167,Tous vaccins,96825,249402,346227,65521
1,2021-09-06,52877,151611,29695,38572687,33021542,245842,Pfizer/BioNTech,68542,189798,258340,204488
2,2021-09-06,13682,28746,1727,5172003,4197796,22967,Moderna,19862,38599,58461,42428
3,2021-09-06,46,401,3,4378683,3401107,2708,AstraZeneca,53,446,499,447
4,2021-09-06,1291,20,0,1023841,2443,75,Janssen,1626,17,1643,1311
0,2021-09-06,67896,180778,31425,49147214,40622888,271592,Tous vaccins,90083,228861,318944,248674
1,2021-09-07,50249,139584,29379,38622936,33161126,275221,Pfizer/BioNTech,61904,170262,232166,189833
2,2021-09-07,20697,41020,2907,5192700,4238816,25874,Moderna,18841,36248,55089,61717
3,2021-09-07,72,482,13,4378755,3401589,2721,AstraZeneca,52,414,466,554
4,2021-09-07,1475,9,0,1025316,2452,75,Janssen,1504,17,1521,1484
0,2021-09-07,72493,181095,32299,49219707,40803983,303891,Tous vaccins,82302,206942,289244,253588
1,2021-09-08,65000,173764,26353,38687936,33334890,301574,Pfizer/BioNTech,57925,160132,218057,238764
2,2021-09-08,16740,31935,2679,5209440,4270751,28553,Moderna,18220,35129,53349,48675
3,2021-09-08,63,354,0,4378818,3401943,2721,AstraZeneca,51,398,449,417
4,2021-09-08,1150,16,4,1026466,2468,79,Janssen,1399,16,1415,1166
0,2021-09-08,82953,206069,29036,49302660,41010052,332927,Tous vaccins,77595,195675,273270,289022
1,2021-09-09,48269,124124,27350,38736205,33459014,328924,Pfizer/BioNTech,54284,149601,203885,172393
2,2021-09-09,20494,40403,4250,5229934,4311154,32803,Moderna,17580,33962,51542,60897
3,2021-09-09,37,386,4,4378855,3402329,2725,AstraZeneca,48,364,412,423
4,2021-09-09,1259,18,2,1027725,2486,81,Janssen,1272,16,1288,1277
0,2021-09-09,70059,164931,31606,49372719,41174983,364533,Tous vaccins,73183,183943,257126,234990
1,2021-09-10,59141,151637,28891,38795346,33610651,357815,Pfizer/BioNTech,51760,138790,190550,210778
2,2021-09-10,27603,51002,5119,5257537,4362156,37922,Moderna,16832,32055,48887,78605
3,2021-09-10,62,421,2,4378917,3402750,2727,AstraZeneca,46,340,386,483
4,2021-09-10,1378,13,2,1029103,2499,83,Janssen,1151,13,1164,1391
0,2021-09-10,88184,203073,34014,49460903,41378056,398547,Tous vaccins,69788,171198,240986,291257
1,2021-09-11,49574,146499,9461,38844920,33757150,367276,Pfizer/BioNTech,49027,132632,181659,196073
2,2021-09-11,13348,21989,2268,5270885,4384145,40190,Moderna,16393,31261,47654,35337
3,2021-09-11,31,230,4,4378948,3402980,2731,AstraZeneca,46,333,379,261
4,2021-09-11,677,10,0,1029780,2509,83,Janssen,1069,12,1081,687
0,2021-09-11,63630,168728,11733,49524533,41546784,410280,Tous vaccins,66534,164239,230773,232358
1,2021-09-12,10227,29193,2354,38855147,33786343,369630,Pfizer/BioNTech,47905,130916,178821,39420
2,2021-09-12,1720,2850,264,5272605,4386995,40454,Moderna,16326,31135,47461,4570
3,2021-09-12,8,46,1,4378956,3403026,2732,AstraZeneca,46,331,377,54
4,2021-09-12,128,1,0,1029908,2510,83,Janssen,1051,12,1063,129
0,2021-09-12,12083,32090,2619,49536616,41578874,412899,Tous vaccins,65328,162395,227723,44173
1,2021-09-13,44702,104518,36905,38899849,33890861,406535,Pfizer/BioNTech,46737,124188,170925,149220
2,2021-09-13,11321,21500,2358,5283926,4408495,42812,Moderna,15989,30100,46089,32821
3,2021-09-13,27,332,3,4378983,3403358,2735,AstraZeneca,43,322,365,359
4,2021-09-13,838,10,2,1030746,2520,85,Janssen,986,11,997,848
0,2021-09-13,56888,126360,39268,49593504,41705234,452167,Tous vaccins,63756,154621,218377,183248
1,2021-09-14,49284,95821,48648,38949133,33986682,455183,Pfizer/BioNTech,46600,117937,164537,145105
2,2021-09-14,18117,32759,4810,5302043,4441254,47622,Moderna,15620,28920,44540,50876
3,2021-09-14,25,287,3,4379008,3403645,2738,AstraZeneca,36,294,330,312
4,2021-09-14,953,4,2,1031699,2524,87,Janssen,912,10,922,957
0,2021-09-14,68379,128871,53463,49661883,41834105,505630,Tous vaccins,63168,147160,210328,197250
1,2021-09-15,55295,138817,48557,39004428,34125499,503740,Pfizer/BioNTech,45213,112944,158157,194112
2,2021-09-15,14353,28386,5059,5316396,4469640,52681,Moderna,15279,28413,43692,42739
3,2021-09-15,14,258,3,4379022,3403903,2741,AstraZeneca,29,280,309,272
4,2021-09-15,780,10,0,1032479,2534,87,Janssen,859,9,868,790
0,2021-09-15,70442,167471,53619,49732325,42001576,559249,Tous vaccins,61381,141646,203027,237913
1,2021-09-16,42992,81081,49999,39047420,34206580,553739,Pfizer/BioNTech,44459,106795,151254,124073
2,2021-09-16,15718,32710,6584,5332114,4502350,59265,Moderna,14597,27314,41911,48428
3,2021-09-16,20,332,5,4379042,3404235,2746,AstraZeneca,27,272,299,352
4,2021-09-16,672,9,1,1033151,2543,88,Janssen,775,8,783,681
0,2021-09-16,59402,114132,56589,49791727,42115708,615838,Tous vaccins,59858,134389,194247,173534
1,2021-09-17,49535,109063,42852,39096955,34315643,596591,Pfizer/BioNTech,43087,100713,143800,158598
2,2021-09-17,20392,47007,8605,5352506,4549357,67870,Moderna,13567,26743,40310,67399
3,2021-09-17,30,345,4,4379072,3404580,2750,AstraZeneca,22,261,283,375
4,2021-09-17,610,16,1,1033761,2559,89,Janssen,665,9,674,626
0,2021-09-17,70567,156431,51462,49862294,42272139,667300,Tous vaccins,57342,127726,185068,226998
1,2021-09-18,35710,118209,11447,39132665,34433852,608038,Pfizer/BioNTech,41106,96672,137778,153919
2,2021-09-18,9581,20844,3710,5362087,4570201,71580,Moderna,13029,26579,39608,30425
3,2021-09-18,13,169,0,4379085,3404749,2750,AstraZeneca,20,253,273,182
4,2021-09-18,352,0,3,1034113,2559,92,Janssen,619,7,626,352
0,2021-09-18,45656,139222,15160,49907950,42411361,682460,Tous vaccins,54774,123511,178285,184878
1,2021-09-19,6040,21031,1918,39138705,34454883,609956,Pfizer/BioNTech,40508,95506,136014,27071
2,2021-09-19,1114,2729,375,5363201,4572930,71955,Moderna,12942,26562,39504,3843
3,2021-09-19,3,29,1,4379088,3404778,2751,AstraZeneca,19,250,269,32
4,2021-09-19,93,1,4,1034206,2560,96,Janssen,614,7,621,94
0,2021-09-19,7250,23790,2298,49915200,42435151,684758,Tous vaccins,54083,122325,176408,31040
1,2021-09-20,31808,74555,43476,39170513,34529438,653432,Pfizer/BioNTech,38666,91225,129891,106363
2,2021-09-20,7198,18868,3705,5370399,4591798,75660,Moderna,12353,26186,38539,26066
3,2021-09-20,40,212,0,4379128,3404990,2751,AstraZeneca,21,233,254,252
4,2021-09-20,314,9,0,1034520,2569,96,Janssen,539,7,546,323
0,2021-09-20,39360,93644,47181,49954560,42528795,731939,Tous vaccins,51579,117652,169231,133004
1,2021-09-21,31851,68160,52106,39202364,34597598,705538,Pfizer/BioNTech,36176,87274,123450,100011
2,2021-09-21,10927,30031,6378,5381326,4621829,82038,Moderna,11326,25796,37122,40958
3,2021-09-21,19,275,4,4379147,3405265,2755,AstraZeneca,20,231,251,294
4,2021-09-21,345,4,0,1034865,2573,96,Janssen,452,7,459,349
0,2021-09-21,43142,98470,58488,49997702,42627265,790427,Tous vaccins,47974,113309,161283,141612
1,2021-09-22,35907,117239,45924,39238271,34714837,751462,Pfizer/BioNTech,33406,84191,117597,153146
2,2021-09-22,9056,23548,5384,5390382,4645377,87422,Moderna,10569,25105,35674,32604
3,2021-09-22,14,219,6,4379161,3405484,2761,AstraZeneca,20,226,246,233
4,2021-09-22,293,10,2,1035158,2583,98,Janssen,383,7,390,303
0,2021-09-22,45270,141016,51316,50042972,42768281,841743,Tous vaccins,44378,109529,153907,186286
1,2021-09-23,29587,61565,48611,39267858,34776402,800073,Pfizer/BioNTech,31491,81403,112894,91152
2,2021-09-23,10374,28864,7672,5400756,4674241,95094,Moderna,9806,24556,34362,39238
3,2021-09-23,10,267,7,4379171,3405751,2768,AstraZeneca,18,217,235,277
4,2021-09-23,341,5,1,1035499,2588,99,Janssen,335,6,341,346
0,2021-09-23,40312,90701,56291,50083284,42858982,898034,Tous vaccins,41651,106182,147833,131013
1,2021-09-24,34262,88678,39767,39302120,34865080,839840,Pfizer/BioNTech,29309,78491,107800,122940
2,2021-09-24,14564,42749,10558,5415320,4716990,105652,Moderna,8973,23948,32921,57313
3,2021-09-24,9,311,7,4379180,3406062,2775,AstraZeneca,15,212,227,320
4,2021-09-24,325,9,4,1035824,2597,103,Janssen,295,5,300,334
0,2021-09-24,49160,131747,50336,50132444,42990729,948370,Tous vaccins,38593,102656,141249,180907
1,2021-09-25,25284,96107,11953,39327404,34961187,851793,Pfizer/BioNTech,27820,75334,103154,121391
2,2021-09-25,6771,18595,3825,5422091,4735585,109477,Moderna,8572,23626,32198,25366
3,2021-09-25,14,154,3,4379194,3406216,2778,AstraZeneca,16,210,226,168
4,2021-09-25,221,8,0,1036045,2605,103,Janssen,276,7,283,229
0,2021-09-25,32290,114864,15781,50164734,43105593,964151,Tous vaccins,36683,99176,135859,147154
1,2021-09-26,3969,15199,1650,39331373,34976386,853443,Pfizer/BioNTech,27524,74500,102024,19168
2,2021-09-26,936,2590,458,5423027,4738175,109935,Moderna,8547,23606,32153,3526
3,2021-09-26,0,40,1,4379194,3406256,2779,AstraZeneca,15,211,226,40
4,2021-09-26,44,1,0,1036089,2606,103,Janssen,269,7,276,45
0,2021-09-26,4949,17830,2109,50169683,43123423,966260,Tous vaccins,36355,98325,134680,22779
1,2021-09-27,25052,59872,38434,39356425,35036258,891877,Pfizer/BioNTech,26559,72403,98962,84924
2,2021-09-27,5885,16469,4055,5428912,4754644,113990,Moderna,8359,23264,31623,22354
3,2021-09-27,13,280,2,4379207,3406536,2781,AstraZeneca,11,221,232,293
4,2021-09-27,182,5,0,1036271,2611,103,Janssen,250,6,256,187
0,2021-09-27,31132,76626,42491,50200815,43200049,1008751,Tous vaccins,35179,95893,131072,107758
