dep,jour,taux_incid_glissant,tranche_age
69,2020-09-01,27.03227822972368,0-9
69,2020-09-01,87.82540971382174,10-19
69,2020-09-01,269.27766266988806,20-29
69,2020-09-01,170.0686921131133,30-39
69,2020-09-01,107.8519625660275,40-49
69,2020-09-01,94.37814782884885,50-59
69,2020-09-01,63.57137280706646,60-69
69,2020-09-01,48.2526685187893,70-79
69,2020-09-01,55.43097583713372,80-89
69,2020-09-01,132.67140289309253,+90
69,2020-09-01,114.49582127564763,Tous âges
69,2020-09-02,27.877036924402546,0-9
69,2020-09-02,96.93936732563341,10-19
69,2020-09-02,279.37557502000885,20-29
69,2020-09-02,171.6325421555327,30-39
69,2020-09-02,113.7965589279345,40-49
69,2020-09-02,98.4618176868279,50-59
69,2020-09-02,65.80194729152493,60-69
69,2020-09-02,54.832577862260564,70-79
69,2020-09-02,66.76912998563834,80-89
69,2020-09-02,166.90918428485833,+90
69,2020-09-02,120.25259441241204,Tous âges
69,2020-09-03,32.10083039779687,0-9
69,2020-09-03,105.63905413690821,10-19
69,2020-09-03,305.55534777958127,20-29
69,2020-09-03,181.0156424100493,30-39
69,2020-09-03,117.61808516058902,40-49
69,2020-09-03,102.99922864013794,50-59
69,2020-09-03,64.6866600492957,60-69
69,2020-09-03,62.14358824389531,70-79
69,2020-09-03,75.58769432336415,80-89
69,2020-09-03,256.78336043824356,+90
69,2020-09-03,129.84721630701938,Tous âges
69,2020-09-04,36.74700321853063,0-9
69,2020-09-04,115.99582415033059,10-19
69,2020-09-04,314.9052666222857,20-29
69,2020-09-04,188.05296760093677,30-39
69,2020-09-04,129.50727788440307,40-49
69,2020-09-04,104.36045192613096,50-59
69,2020-09-04,69.70545263932726,60-69
69,2020-09-04,67.9923965492031,70-79
69,2020-09-04,95.74441280959459,80-89
69,2020-09-04,303.86030985192156,+90
69,2020-09-04,138.05594837240565,Tous âges
69,2020-09-05,37.16938256587006,0-9
69,2020-09-05,116.82436575140439,10-19
69,2020-09-05,316.7752503908266,20-29
69,2020-09-05,189.22585513275132,30-39
69,2020-09-05,135.4518742463101,40-49
69,2020-09-05,102.09174644947593,50-59
69,2020-09-05,70.26309626044188,60-69
69,2020-09-05,76.03450796900133,70-79
69,2020-09-05,99.5237975257628,80-89
69,2020-09-05,316.6994778738338,+90
69,2020-09-05,140.08147966126722,Tous âges
69,2020-09-06,36.74700321853063,0-9
69,2020-09-06,116.41009495086747,10-19
69,2020-09-06,314.1572731148694,20-29
69,2020-09-06,189.22585513275132,30-39
69,2020-09-06,134.6026461946091,40-49
69,2020-09-06,101.18426425881391,50-59
69,2020-09-06,71.37838350267111,60-69
69,2020-09-06,73.84120485451089,70-79
